"X1","X2","X3","X4"
"SWKS","http://www.google.com/finance?q=SWKS","Skyworks Solutions Inc.","0.097129"
"ISRG","http://www.google.com/finance?q=ISRG","Intuitive Surgical Inc.","0.096859"
"ED","http://www.google.com/finance?q=ED","Consolidated Edison Inc.","0.095811"
"GGP","http://www.google.com/finance?q=GGP","General Growth Properties Inc.","0.095686"
"PH","http://www.google.com/finance?q=PH","Parker-Hannifin Corporation","0.095336"
"WFM","http://www.google.com/finance?q=WFM","Whole Foods Market Inc.","0.094312"
"HIG","http://www.google.com/finance?q=HIG","Hartford Financial Services Group Inc.","0.093341"
"IVZ","http://www.google.com/finance?q=IVZ","Invesco Ltd.","0.093317"
"APH","http://www.google.com/finance?q=APH","Amphenol Corporation Class A","0.092962"
"XEL","http://www.google.com/finance?q=XEL","Xcel Energy Inc.","0.091983"
"ROP","http://www.google.com/finance?q=ROP","Roper Industries Inc.","0.091697"
"SYMC","http://www.google.com/finance?q=SYMC","Symantec Corporation","0.091506"
"WY","http://www.google.com/finance?q=WY","Weyerhaeuser Company","0.090440"
"MAR","http://www.google.com/finance?q=MAR","Marriott International Inc. Class A","0.090379"
"TYC","http://www.google.com/finance?q=TYC","Tyco International PLC","0.088962"
"AA","http://www.google.com/finance?q=AA","Alcoa Inc.","0.087973"
"SIAL","http://www.google.com/finance?q=SIAL","Sigma-Aldrich Corporation","0.087969"
"DLTR","http://www.google.com/finance?q=DLTR","Dollar Tree Inc.","0.087906"
"FITB","http://www.google.com/finance?q=FITB","Fifth Third Bancorp","0.086639"
"ENDP","http://www.google.com/finance?q=ENDP","Endo International Plc","0.086071"
"NTRS","http://www.google.com/finance?q=NTRS","Northern Trust Corporation","0.086001"
"PAYX","http://www.google.com/finance?q=PAYX","Paychex Inc.","0.085862"
"K","http://www.google.com/finance?q=K","Kellogg Company","0.085657"
"CAG","http://www.google.com/finance?q=CAG","ConAgra Foods Inc.","0.084810"
"ES","http://www.google.com/finance?q=ES","Eversource Energy","0.084384"
"MTB","http://www.google.com/finance?q=MTB","M&T Bank Corporation","0.083624"
"SWK","http://www.google.com/finance?q=SWK","Stanley Black & Decker Inc.","0.083517"
"ROK","http://www.google.com/finance?q=ROK","Rockwell Automation Inc.","0.083376"
"LVLT","http://www.google.com/finance?q=LVLT","Level 3 Communications Inc.","0.083054"
"HST","http://www.google.com/finance?q=HST","Host Hotels & Resorts Inc.","0.082765"
"WHR","http://www.google.com/finance?q=WHR","Whirlpool Corporation","0.082236"
"NUE","http://www.google.com/finance?q=NUE","Nucor Corporation","0.081741"
"FE","http://www.google.com/finance?q=FE","FirstEnergy Corp.","0.081568"
"GWW","http://www.google.com/finance?q=GWW","W.W. Grainger Inc.","0.080881"
"DPS","http://www.google.com/finance?q=DPS","Dr Pepper Snapple Group Inc.","0.080495"
"ESS","http://www.google.com/finance?q=ESS","Essex Property Trust Inc.","0.079436"
"KMX","http://www.google.com/finance?q=KMX","CarMax Inc.","0.079430"
"NLSN","http://www.google.com/finance?q=NLSN","Nielsen N.V.","0.079041"
"HSP","http://www.google.com/finance?q=HSP","Hospira Inc.","0.078861"
"LNC","http://www.google.com/finance?q=LNC","Lincoln National Corporation","0.078841"
"KSS","http://www.google.com/finance?q=KSS","Kohl's Corporation","0.078727"
"SNDK","http://www.google.com/finance?q=SNDK","SanDisk Corporation","0.077210"
"RHT","http://www.google.com/finance?q=RHT","Red Hat Inc.","0.077002"
"BF.B","http://www.google.com/finance?q=BF.B","Brown-Forman Corporation Class B","0.076867"
"DVA","http://www.google.com/finance?q=DVA","DaVita HealthCare Partners Inc.","0.076748"
"DTE","http://www.google.com/finance?q=DTE","DTE Energy Company","0.076341"
"PGR","http://www.google.com/finance?q=PGR","Progressive Corporation","0.076226"
"CLX","http://www.google.com/finance?q=CLX","Clorox Company","0.076042"
"MOS","http://www.google.com/finance?q=MOS","Mosaic Company","0.075804"
"EW","http://www.google.com/finance?q=EW","Edwards Lifesciences Corporation","0.075583"
"A","http://www.google.com/finance?q=A","Agilent Technologies Inc.","0.075479"
"NI","http://www.google.com/finance?q=NI","NiSource Inc.","0.075176"
"GMCR","http://www.google.com/finance?q=GMCR","Keurig Green Mountain Inc.","0.075104"
"GPC","http://www.google.com/finance?q=GPC","Genuine Parts Company","0.074707"
"HOT","http://www.google.com/finance?q=HOT","Starwood Hotels & Resorts Worldwide Inc.","0.074692"
"BWA","http://www.google.com/finance?q=BWA","BorgWarner Inc.","0.074685"
"ETR","http://www.google.com/finance?q=ETR","Entergy Corporation","0.074603"
"PFG","http://www.google.com/finance?q=PFG","Principal Financial Group Inc.","0.074530"
"HSY","http://www.google.com/finance?q=HSY","Hershey Company","0.074461"
"CF","http://www.google.com/finance?q=CF","CF Industries Holdings Inc.","0.074048"
"AKAM","http://www.google.com/finance?q=AKAM","Akamai Technologies Inc.","0.073743"
"ADSK","http://www.google.com/finance?q=ADSK","Autodesk Inc.","0.073617"
"EQIX","http://www.google.com/finance?q=EQIX","Equinix Inc","0.073104"
"COG","http://www.google.com/finance?q=COG","Cabot Oil & Gas Corporation","0.072962"
"UA","http://www.google.com/finance?q=UA","Under Armour Inc. Class A","0.072089"
"MNK","http://www.google.com/finance?q=MNK","Mallinckrodt Plc","0.071484"
"COL","http://www.google.com/finance?q=COL","Rockwell Collins Inc.","0.070518"
"RF","http://www.google.com/finance?q=RF","Regions Financial Corporation","0.070476"
"BBBY","http://www.google.com/finance?q=BBBY","Bed Bath & Beyond Inc.","0.070009"
"EQT","http://www.google.com/finance?q=EQT","EQT Corporation","0.069608"
"KORS","http://www.google.com/finance?q=KORS","Michael Kors Holdings Ltd","0.068696"
"AME","http://www.google.com/finance?q=AME","AMETEK Inc.","0.068426"
"BCR","http://www.google.com/finance?q=BCR","C. R. Bard Inc.","0.068358"
"HBI","http://www.google.com/finance?q=HBI","Hanesbrands Inc.","0.067458"
"LH","http://www.google.com/finance?q=LH","Laboratory Corporation of America Holdings","0.067392"
"SLG","http://www.google.com/finance?q=SLG","SL Green Realty Corp.","0.067327"
"NEM","http://www.google.com/finance?q=NEM","Newmont Mining Corporation","0.067312"
"DOV","http://www.google.com/finance?q=DOV","Dover Corporation","0.067031"
"TSCO","http://www.google.com/finance?q=TSCO","Tractor Supply Company","0.066450"
"L","http://www.google.com/finance?q=L","Loews Corporation","0.066304"
"KEY","http://www.google.com/finance?q=KEY","KeyCorp","0.066073"
"HOG","http://www.google.com/finance?q=HOG","Harley-Davidson Inc.","0.065949"
"ALTR","http://www.google.com/finance?q=ALTR","Altera Corporation","0.065643"
"AMG","http://www.google.com/finance?q=AMG","Affiliated Managers Group Inc.","0.065449"
"XRX","http://www.google.com/finance?q=XRX","Xerox Corporation","0.065057"
"TXT","http://www.google.com/finance?q=TXT","Textron Inc.","0.064995"
"LRCX","http://www.google.com/finance?q=LRCX","Lam Research Corporation","0.064813"
"SJM","http://www.google.com/finance?q=SJM","J. M. Smucker Company","0.064180"
"TAP","http://www.google.com/finance?q=TAP","Molson Coors Brewing Company Class B","0.063519"
"EFX","http://www.google.com/finance?q=EFX","Equifax Inc.","0.063107"
"HSIC","http://www.google.com/finance?q=HSIC","Henry Schein Inc.","0.062832"
"RCL","http://www.google.com/finance?q=RCL","Royal Caribbean Cruises Ltd.","0.062707"
"PNR","http://www.google.com/finance?q=PNR","Pentair plc","0.062593"
"KSU","http://www.google.com/finance?q=KSU","Kansas City Southern","0.062139"
"MSI","http://www.google.com/finance?q=MSI","Motorola Solutions Inc.","0.062089"
"MAC","http://www.google.com/finance?q=MAC","Macerich Company","0.061921"
"XLNX","http://www.google.com/finance?q=XLNX","Xilinx Inc.","0.061867"
"COH","http://www.google.com/finance?q=COH","Coach Inc.","0.061809"
"FAST","http://www.google.com/finance?q=FAST","Fastenal Company","0.061220"
"TSN","http://www.google.com/finance?q=TSN","Tyson Foods Inc. Class A","0.060987"
"NVDA","http://www.google.com/finance?q=NVDA","NVIDIA Corporation","0.060919"
"SRCL","http://www.google.com/finance?q=SRCL","Stericycle Inc.","0.060905"
"NTAP","http://www.google.com/finance?q=NTAP","NetApp Inc.","0.060607"
"EMN","http://www.google.com/finance?q=EMN","Eastman Chemical Company","0.060422"
"WEC","http://www.google.com/finance?q=WEC","Wisconsin Energy Corporation","0.060151"
"TSO","http://www.google.com/finance?q=TSO","Tesoro Corporation","0.060145"
"O","http://www.google.com/finance?q=O","Realty Income Corporation","0.059833"
"WYN","http://www.google.com/finance?q=WYN","Wyndham Worldwide Corporation","0.059469"
"MHK","http://www.google.com/finance?q=MHK","Mohawk Industries Inc.","0.059010"
"JWN","http://www.google.com/finance?q=JWN","Nordstrom Inc.","0.058509"
"VMC","http://www.google.com/finance?q=VMC","Vulcan Materials Company","0.058508"
"CTXS","http://www.google.com/finance?q=CTXS","Citrix Systems Inc.","0.058354"
"LLTC","http://www.google.com/finance?q=LLTC","Linear Technology Corporation","0.058203"
"UHS","http://www.google.com/finance?q=UHS","Universal Health Services Inc. Class B","0.057916"
"DGX","http://www.google.com/finance?q=DGX","Quest Diagnostics Incorporated","0.057634"
"NWL","http://www.google.com/finance?q=NWL","Newell Rubbermaid Inc.","0.057550"
"CAM","http://www.google.com/finance?q=CAM","Cameron International Corporation","0.057175"
"GPS","http://www.google.com/finance?q=GPS","Gap Inc.","0.057074"
"WU","http://www.google.com/finance?q=WU","Western Union Company","0.056914"
"CBG","http://www.google.com/finance?q=CBG","CBRE Group Inc. Class A","0.056682"
"PLL","http://www.google.com/finance?q=PLL","Pall Corporation","0.055919"
"KIM","http://www.google.com/finance?q=KIM","Kimco Realty Corporation","0.055870"
"LLL","http://www.google.com/finance?q=LLL","L-3 Communications Holdings Inc.","0.055738"
"WYNN","http://www.google.com/finance?q=WYNN","Wynn Resorts Limited","0.055509"
"XEC","http://www.google.com/finance?q=XEC","Cimarex Energy Co.","0.055264"
"BLL","http://www.google.com/finance?q=BLL","Ball Corporation","0.055252"
"RRC","http://www.google.com/finance?q=RRC","Range Resources Corporation","0.055234"
"WAT","http://www.google.com/finance?q=WAT","Waters Corporation","0.055010"
"SPLS","http://www.google.com/finance?q=SPLS","Staples Inc.","0.054889"
"RSG","http://www.google.com/finance?q=RSG","Republic Services Inc.","0.054761"
"BBY","http://www.google.com/finance?q=BBY","Best Buy Co. Inc.","0.054600"
"CA","http://www.google.com/finance?q=CA","CA Inc.","0.054146"
"CHRW","http://www.google.com/finance?q=CHRW","C.H. Robinson Worldwide Inc.","0.054086"
"CCE","http://www.google.com/finance?q=CCE","Coca-Cola Enterprises Inc.","0.053866"
"OKE","http://www.google.com/finance?q=OKE","ONEOK Inc.","0.053858"
"AEE","http://www.google.com/finance?q=AEE","Ameren Corporation","0.053853"
"SWN","http://www.google.com/finance?q=SWN","Southwestern Energy Company","0.053378"
"HAR","http://www.google.com/finance?q=HAR","Harman International Industries Incorporated","0.052723"
"KLAC","http://www.google.com/finance?q=KLAC","KLA-Tencor Corporation","0.052546"
"MKC","http://www.google.com/finance?q=MKC","McCormick & Company Incorporated","0.052413"
"EXPE","http://www.google.com/finance?q=EXPE","Expedia Inc.","0.052314"
"XL","http://www.google.com/finance?q=XL","XL Group Plc","0.052225"
"MAT","http://www.google.com/finance?q=MAT","Mattel Inc.","0.051706"
"URI","http://www.google.com/finance?q=URI","United Rentals Inc.","0.051549"
"CMS","http://www.google.com/finance?q=CMS","CMS Energy Corporation","0.051287"
"FTI","http://www.google.com/finance?q=FTI","FMC Technologies Inc.","0.051222"
"JNPR","http://www.google.com/finance?q=JNPR","Juniper Networks Inc.","0.051196"
"TIF","http://www.google.com/finance?q=TIF","Tiffany & Co.","0.050844"
"VAR","http://www.google.com/finance?q=VAR","Varian Medical Systems Inc.","0.050760"
"IFF","http://www.google.com/finance?q=IFF","International Flavors & Fragrances Inc.","0.050209"
"SEE","http://www.google.com/finance?q=SEE","Sealed Air Corporation","0.050000"
"MCHP","http://www.google.com/finance?q=MCHP","Microchip Technology Incorporated","0.049994"
"MAS","http://www.google.com/finance?q=MAS","Masco Corporation","0.049962"
"CSC","http://www.google.com/finance?q=CSC","Computer Sciences Corporation","0.048877"
"FFIV","http://www.google.com/finance?q=FFIV","F5 Networks Inc.","0.048706"
"EXPD","http://www.google.com/finance?q=EXPD","Expeditors International of Washington Inc.","0.048378"
"FLR","http://www.google.com/finance?q=FLR","Fluor Corporation","0.048067"
"TRIP","http://www.google.com/finance?q=TRIP","TripAdvisor Inc.","0.047802"
"SNA","http://www.google.com/finance?q=SNA","Snap-on Incorporated","0.047416"
"CNP","http://www.google.com/finance?q=CNP","CenterPoint Energy Inc.","0.047217"
"IPG","http://www.google.com/finance?q=IPG","Interpublic Group of Companies Inc.","0.047127"
"HBAN","http://www.google.com/finance?q=HBAN","Huntington Bancshares Incorporated","0.046610"
"DHI","http://www.google.com/finance?q=DHI","D.R. Horton Inc.","0.046404"
"AES","http://www.google.com/finance?q=AES","AES Corporation","0.046333"
"HRB","http://www.google.com/finance?q=HRB","H&R Block Inc.","0.045927"
"PVH","http://www.google.com/finance?q=PVH","PVH Corp.","0.045659"
"NRG","http://www.google.com/finance?q=NRG","NRG Energy Inc.","0.045474"
"UNM","http://www.google.com/finance?q=UNM","Unum Group","0.045420"
"HRS","http://www.google.com/finance?q=HRS","Harris Corporation","0.045008"
"MLM","http://www.google.com/finance?q=MLM","Martin Marietta Materials Inc.","0.044975"
"DISCK","http://www.google.com/finance?q=DISCK","Discovery Communications Inc. Class C","0.044294"
"RL","http://www.google.com/finance?q=RL","Ralph Lauren Corporation Class A","0.043925"
"CMA","http://www.google.com/finance?q=CMA","Comerica Incorporated","0.043845"
"HP","http://www.google.com/finance?q=HP","Helmerich & Payne Inc.","0.043770"
"DRI","http://www.google.com/finance?q=DRI","Darden Restaurants Inc.","0.043680"
"NAVI","http://www.google.com/finance?q=NAVI","Navient Corp","0.043620"
"CPB","http://www.google.com/finance?q=CPB","Campbell Soup Company","0.043417"
"HAS","http://www.google.com/finance?q=HAS","Hasbro Inc.","0.043328"
"LEN","http://www.google.com/finance?q=LEN","Lennar Corporation Class A","0.043173"
"MUR","http://www.google.com/finance?q=MUR","Murphy Oil Corporation","0.042570"
"ETFC","http://www.google.com/finance?q=ETFC","E*TRADE Financial Corporation","0.042218"
"FLS","http://www.google.com/finance?q=FLS","Flowserve Corporation","0.042207"
"GCI","http://www.google.com/finance?q=GCI","Gannett Co. Inc.","0.042000"
"CTAS","http://www.google.com/finance?q=CTAS","Cintas Corporation","0.041855"
"MWV","http://www.google.com/finance?q=MWV","MeadWestvaco Corporation","0.041690"
"FMC","http://www.google.com/finance?q=FMC","FMC Corporation","0.041624"
"RHI","http://www.google.com/finance?q=RHI","Robert Half International Inc.","0.041274"
"SCG","http://www.google.com/finance?q=SCG","SCANA Corporation","0.041092"
"NWSA","http://www.google.com/finance?q=NWSA","News Corporation Class A","0.040955"
"CINF","http://www.google.com/finance?q=CINF","Cincinnati Financial Corporation","0.040703"
"FDO","http://www.google.com/finance?q=FDO","Family Dollar Stores Inc.","0.040485"
"GT","http://www.google.com/finance?q=GT","Goodyear Tire & Rubber Company","0.040454"
"CHK","http://www.google.com/finance?q=CHK","Chesapeake Energy Corporation","0.039846"
"PCL","http://www.google.com/finance?q=PCL","Plum Creek Timber Company Inc.","0.039573"
"HRL","http://www.google.com/finance?q=HRL","Hormel Foods Corporation","0.039147"
"TMK","http://www.google.com/finance?q=TMK","Torchmark Corporation","0.038993"
"LUK","http://www.google.com/finance?q=LUK","Leucadia National Corporation","0.038589"
"XRAY","http://www.google.com/finance?q=XRAY","DENTSPLY International Inc.","0.038515"
"VRSN","http://www.google.com/finance?q=VRSN","VeriSign Inc.","0.037664"
"SNI","http://www.google.com/finance?q=SNI","Scripps Networks Interactive Inc. Class A","0.037605"
"ARG","http://www.google.com/finance?q=ARG","Airgas Inc.","0.037364"
"ADT","http://www.google.com/finance?q=ADT","ADT Corporation","0.037329"
"PNW","http://www.google.com/finance?q=PNW","Pinnacle West Capital Corporation","0.036663"
"FTR","http://www.google.com/finance?q=FTR","Frontier Communications Corporation Class B","0.036453"
"CNX","http://www.google.com/finance?q=CNX","CONSOL Energy Inc.","0.036022"
"PHM","http://www.google.com/finance?q=PHM","PulteGroup Inc.","0.035903"
"XYL","http://www.google.com/finance?q=XYL","Xylem Inc.","0.035452"
"IRM","http://www.google.com/finance?q=IRM","Iron Mountain Inc.","0.035275"
"POM","http://www.google.com/finance?q=POM","Pepco Holdings Inc.","0.034328"
"PWR","http://www.google.com/finance?q=PWR","Quanta Services Inc.","0.034109"
"TDC","http://www.google.com/finance?q=TDC","Teradata Corporation","0.034097"
"TSS","http://www.google.com/finance?q=TSS","Total System Services Inc.","0.033813"
"JEC","http://www.google.com/finance?q=JEC","Jacobs Engineering Group Inc.","0.032856"
"NFX","http://www.google.com/finance?q=NFX","Newfield Exploration Company","0.032850"
"AIV","http://www.google.com/finance?q=AIV","Apartment Investment and Management Company Class A","0.032812"
"GAS","http://www.google.com/finance?q=GAS","AGL Resources Inc.","0.031896"
"LEG","http://www.google.com/finance?q=LEG","Leggett & Platt Incorporated","0.031877"
"ALLE","http://www.google.com/finance?q=ALLE","Allegion PLC","0.031037"
"TEG","http://www.google.com/finance?q=TEG","Integrys Energy Group Inc.","0.030759"
"PKI","http://www.google.com/finance?q=PKI","PerkinElmer Inc.","0.030433"
"GRMN","http://www.google.com/finance?q=GRMN","Garmin Ltd.","0.029998"
"ESV","http://www.google.com/finance?q=ESV","Ensco plc","0.029891"
"ZION","http://www.google.com/finance?q=ZION","Zions Bancorporation","0.029735"
"RIG","http://www.google.com/finance?q=RIG","Transocean Ltd.","0.029679"
"NDAQ","http://www.google.com/finance?q=NDAQ","NASDAQ OMX Group Inc.","0.029645"
"LM","http://www.google.com/finance?q=LM","Legg Mason Inc.","0.029268"
"R","http://www.google.com/finance?q=R","Ryder System Inc.","0.026920"
"THC","http://www.google.com/finance?q=THC","Tenet Healthcare Corporation","0.026170"
"DISCA","http://www.google.com/finance?q=DISCA","Discovery Communications Inc. Class A","0.025516"
"AN","http://www.google.com/finance?q=AN","AutoNation Inc.","0.025419"
"PBCT","http://www.google.com/finance?q=PBCT","People's United Financial Inc.","0.025391"
"DNB","http://www.google.com/finance?q=DNB","Dun & Bradstreet Corporation","0.025370"
"AVY","http://www.google.com/finance?q=AVY","Avery Dennison Corporation","0.025313"
"FSLR","http://www.google.com/finance?q=FSLR","First Solar Inc.","0.025220"
"TE","http://www.google.com/finance?q=TE","TECO Energy Inc.","0.024017"
"PBI","http://www.google.com/finance?q=PBI","Pitney Bowes Inc.","0.024015"
"FLIR","http://www.google.com/finance?q=FLIR","FLIR Systems Inc.","0.023466"
"HCBK","http://www.google.com/finance?q=HCBK","Hudson City Bancorp Inc.","0.023432"
"GME","http://www.google.com/finance?q=GME","GameStop Corp. Class A","0.023369"
"CVC","http://www.google.com/finance?q=CVC","Cablevision Systems Corporation Class A","0.023102"
"AIZ","http://www.google.com/finance?q=AIZ","Assurant Inc.","0.022805"
"URBN","http://www.google.com/finance?q=URBN","Urban Outfitters Inc.","0.022698"
"JOY","http://www.google.com/finance?q=JOY","Joy Global Inc.","0.021967"
"OI","http://www.google.com/finance?q=OI","Owens-Illinois Inc.","0.021476"
"PDCO","http://www.google.com/finance?q=PDCO","Patterson Companies Inc.","0.021063"
"NE","http://www.google.com/finance?q=NE","Noble Corporation plc","0.021003"
"GNW","http://www.google.com/finance?q=GNW","Genworth Financial Inc. Class A","0.020666"
"QEP","http://www.google.com/finance?q=QEP","QEP Resources Inc.","0.019898"
"FOSL","http://www.google.com/finance?q=FOSL","Fossil Group Inc.","0.019720"
"ATI","http://www.google.com/finance?q=ATI","Allegheny Technologies Incorporated","0.019535"
"DO","http://www.google.com/finance?q=DO","Diamond Offshore Drilling Inc.","0.011040"
